family,baseline_A,baseline_S,baseline_ASR,baseline_lo,baseline_hi,defended_A,defended_S,defended_ASR,defended_lo,defended_hi
injection,1071,22,0.02054154995331466,0.01360381905488557,0.03090655345023519,1071,0,0.0,0.0,0.0035741080360120045
leak,1158,0,0.0,0.0,0.003306474824106832,1158,0,0.0,0.0,0.003306474824106832
poison,1050,0,0.0,0.0,0.003645329620694419,1050,0,0.0,0.0,0.003645329620694419
rag,1113,0,0.0,0.0,0.003439699953869913,1113,0,0.0,0.0,0.003439699953869913
role,1053,180,0.17094017094017094,0.1494079232565313,0.19486467161482882,1053,0,0.0,0.0,0.003634981817521187
tool,1587,219,0.13799621928166353,0.12189938384490448,0.15584140442716488,1587,1,0.000630119722747322,0.00011123740323004706,0.003560781231434774
