family,baseline_A,baseline_S,baseline_ASR,baseline_lo,baseline_hi,defended_A,defended_S,defended_ASR,defended_lo,defended_hi
injection,39,0,0.0,0.0,0.08966985360023902,39,0,0.0,0.0,0.08966985360023902
leak,14,0,0.0,0.0,0.21531701192718142,14,0,0.0,0.0,0.21531701192718142
poison,35,2,0.05714285714285714,0.01581282961404396,0.1860738073937003,35,0,0.0,0.0,0.09890426758938868
rag,25,0,0.0,0.0,0.13319649395317873,25,0,0.0,0.0,0.13319649395317873
role,3,0,0.0,0.0,0.5615060804490177,3,0,0.0,0.0,0.5615060804490177
tool,89,41,0.4606741573033708,0.36089548184821324,0.563707282429869,89,0,0.0,0.0,0.04137800296418846
