run,profile,attacks,success,ASR,ASR_lo,ASR_hi,benign,overdefense,ODR,ODR_lo,ODR_hi,LeakageRate,LR_lo,LR_hi,LeakageRateBenign,LRB_lo,LRB_hi
"seeds:101,202,303",baseline,7131,598,0.08385920628242884,0.07764774635993475,0.09051879009127395,156,0,0.0,0.0,0.024033793455520962,0.0844201374281307,0.07818889900284466,0.09109889569746098,0.057692307692307696,0.03064539396540726,0.1059998848606305
"seeds:101,202,303",defended,7131,0,0.0,0.0,0.0005384282112163499,156,3,0.019230769230769232,0.006561287554149497,0.05500966769154373,0.0,0.0,0.0005384282112163499,0.0,0.0,0.024033793455520962
seeds:303,defended_only_input,2377,7,0.002944888514934792,0.001427220275682467,0.006066600396805783,52,0,0.0,0.0,0.06879459041288215,0.014724442574673959,0.01060624729210834,0.020408667769859664,0.057692307692307696,0.01981381269057321,0.15642755575159176
seeds:303,defended_only_rag,2377,222,0.09339503575936053,0.08234413356396239,0.10575809045631682,52,0,0.0,0.0,0.06879459041288215,0.005889777029869584,0.0035116575491262185,0.009862436720731971,0.038461538461538464,0.010611488322077558,0.1298142874436598
seeds:303,defended_only_tool,2377,5,0.002103491796381994,0.0008987970098187153,0.004914945491992409,52,0,0.0,0.0,0.06879459041288215,0.036600757257046694,0.029768592998020715,0.044928354501552546,0.038461538461538464,0.010611488322077558,0.1298142874436598
seeds:303,defended_no_rag,2377,0,0.0,0.0,0.001613547075118311,52,3,0.057692307692307696,0.01981381269057321,0.15642755575159176,0.0,0.0,0.001613547075118311,0.0,0.0,0.06879459041288215
