family,baseline_A,baseline_S,baseline_ASR,baseline_lo,baseline_hi,defended_A,defended_S,defended_ASR,defended_lo,defended_hi
injection,1071,19,0.017740429505135387,0.011386186498354156,0.02754196812461541,1071,0,0.0,0.0,0.0035741080360120045
leak,1158,0,0.0,0.0,0.003306474824106832,1158,0,0.0,0.0,0.003306474824106832
poison,1050,1,0.0009523809523809524,0.00016813408572387422,0.005375013954740651,1050,0,0.0,0.0,0.003645329620694419
rag,1113,0,0.0,0.0,0.003439699953869913,1113,0,0.0,0.0,0.003439699953869913
role,1053,193,0.18328584995251662,0.16108215182875427,0.20779204842982751,1053,0,0.0,0.0,0.003634981817521187
tool,1587,385,0.24259609325771897,0.22214414861328188,0.264291207364334,1587,0,0.0,0.0,0.0024148224436675533
